Column1,Column2
17:54:45,6.3
18:04:48,6.2
18:20:49,6.1
18:30:51,6.0
18:40:51,5.9
18:54:51,5.8
19:04:53,5.7
19:14:53,5.6
19:40:54,5.5
19:50:54,5.4
20:04:54,5.3
20:14:54,5.2
20:40:56,5.1
21:00:56,5.0
21:24:58,4.9
21:51:02,4.8
22:11:02,4.7
22:25:02,4.6
22:35:02,4.5
22:47:02,4.4
23:01:02,4.3
23:11:02,4.2
23:47:02,4.1
23:57:02,4.0
00:21:02,3.9
00:47:02,3.8
00:57:02,3.9
01:11:02,4.0
01:21:02,4.2
01:31:02,4.3
01:57:02,4.4
02:07:02,4.5
02:31:02,4.6
03:51:03,4.5
04:27:03,4.4
05:31:03,4.3
05:57:03,4.2
06:07:03,4.1
06:31:03,4.0
06:57:04,3.9
07:47:07,3.8
08:21:10,3.7
09:01:14,3.8
10:21:16,3.9
10:47:23,4.0
10:57:23,4.1
11:31:24,4.2
11:57:25,4.3
12:21:27,4.4
12:57:28,4.5
